text,label
"The government announced a new healthcare reform plan today.",1
"Scientists discovered that the moon is made of cheese.",0
"Stock markets hit a record high as tech companies surge.",1
"Breaking: Aliens have landed in the desert last night.",0
"Local elections results show a shift towards young candidates.",1
"Drinking coffee will make you live for 500 years, says report.",0
"NASA confirmed the successful launch of the new space telescope.",1
"Celebrity claims to time travel and meet dinosaurs.",0
"Researchers developed a new vaccine for the seasonal flu.",1
"World to end tomorrow, experts warn.",0
